hour,A/A0,abs
0,1,0.116
1.23,2.7069,0.314
2.042,4.2931,0.498
3.125,6.42241,0.745
4.083,7.35345,0.853
5,8.67241,1.006
6,9.85345,1.143
6.5,10.7931,1.252
8.5,11.48276,1.332
10.5,13.31897,1.545
11.5,13.46552,1.562
12.5,14.52586,1.685
