hour,A/A0,abs
0,1,0.159
1.23,1.90566,0.303
2.042,3.54717,0.564
3.125,5.20126,0.827
4.083,6.32704,1.006
5,7.64151,1.215
6,8.66038,1.377
6.5,9.7044,1.543
8.5,10.62264,1.689
10.5,12.45912,1.981
11.5,13.16352,2.093
12.5,14.4717,2.301
