hour,A/A0,abs
0,1,0.144
29.5,2.17361,0.313
49,4.0625,0.585
75,5.70833,0.822
98,6.26389,0.902
120,6.93056,0.998
144,7.59028,1.093
156,7.76389,1.118
204,7.9375,1.143
252,8.58333,1.236
276,8.875,1.278
300,9.22917,1.329
