hour,A/A0,abs
0,1,0.276
24,1.58696,0.438
48,2.91667,0.805
70,3.91304,1.08
96,4.35145,1.201
120,4.9529,1.367
144,4.92754,1.36
169,5.36232,1.48
220,5.46739,1.509
244,5.4058,1.492
261,5.49275,1.516
